video_rank,video_id,country_id,trending_date,title,channel_title,category_id,publish_time,views,likes,dislikes,comment_count
40,5DsBQiYNwuk,US,18.31.05,Scuba Diving and Fishing Underwater in a Crystal Clear Pond! (Caught a Fish 26ft Deep),DALLMYD,17,2018-05-28T19:30:08.000Z,750961,40735,1285,2362
41,w9JrUVI_h4I,US,18.31.05,Crow - Simon's Cat | SHORTS,Simon's Cat,1,2018-05-27T12:45:00.000Z,746471,33869,836,1570
42,Hh-YcWJTt7Y,US,18.31.05,10 Surprising Things That Exist Inside Black Holes,MatthewSantoro,24,2018-05-27T15:23:40.000Z,572367,15148,2818,3210
43,tsM6kq-7nmw,US,18.31.05,Does LeBron need a 4th title to pass Jordan as the GOAT? | NBA | UNDISPUTED,Skip and Shannon: UNDISPUTED,17,2018-05-30T17:01:39.000Z,503964,4889,1407,6320
44,3V_rqb6Nuc4,US,18.31.05,Starbucks Shuts Down for Racial Bias Training | The Daily Show,The Daily Show with Trevor Noah,23,2018-05-30T02:36:20.000Z,500664,12506,531,1137
45,nLXCutcsoKQ,US,18.31.05,'Roseanne' Cast and Crew React to Cancellation News,Entertainment Tonight,24,2018-05-30T03:13:23.000Z,469993,2673,774,4346
46,AoswyJLilgo,US,18.31.05,"ASKING ALEXANDRIA - Someone, Somewhere (Acoustic)",SumerianRecords,10,2018-05-28T16:59:09.000Z,396878,25272,571,1483
47,bV_3HQplzRw,US,18.31.05,There's Always a Bully,itsAlexClark,1,2018-05-30T22:05:02.000Z,381081,30863,419,6303
48,ZAzk_L70t1s,US,18.31.05,Sean Hayes Kicks Off the Show with an Amazing Dance,TheEllenShow,24,2018-05-30T13:00:03.000Z,296964,7993,198,496
49,zNZJNlx4P80,US,18.31.05,WE TRIED TO MAKE TASTY'S GIANT MACARON (VERSUS),HellthyJunkFood,24,2018-05-30T23:59:24.000Z,224124,7770,275,1260
50,BJ2yzCRPonA,US,18.31.05,This Season On The Bachelorette,Bachelor Nation on ABC,24,2018-05-29T04:00:02.000Z,171576,936,97,218
